Día,Hora,Tipo_Franja,Tipo_Vehículo,Energía_kWh,Potencia_kW
1,7,Llano (Mañana),3. HPC 150,35.52,118.62
1,7,Llano (Mañana),2. DC Estándar,26.58,50.0
1,7,Llano (Mañana),1. AC/PHEV,6.45,11.0
1,7,Llano (Mañana),1. AC/PHEV,2.67,11.0
1,7,Llano (Mañana),3. HPC 150,51.13,84.08
1,7,Llano (Mañana),2. DC Estándar,29.92,50.0
1,7,Llano (Mañana),2. DC Estándar,26.59,50.0
1,7,Llano (Mañana),3. HPC 150,48.37,90.4
1,7,Llano (Mañana),2. DC Estándar,24.07,50.0
1,7,Llano (Mañana),3. HPC 150,61.59,102.59
1,7,Llano (Mañana),2. DC Estándar,25.02,50.0
1,7,Llano (Mañana),3. HPC 150,42.22,110.82
1,7,Llano (Mañana),2. DC Estándar,24.97,50.0
1,7,Llano (Mañana),4. HPC 350,72.79,157.56
1,8,Llano (Mañana),3. HPC 150,46.21,124.85
1,8,Llano (Mañana),3. HPC 150,39.42,111.59
1,8,Llano (Mañana),1. AC/PHEV,5.97,11.0
1,8,Llano (Mañana),3. HPC 150,26.47,124.3
1,8,Llano (Mañana),1. AC/PHEV,8.86,11.0
1,8,Llano (Mañana),2. DC Estándar,7.9,50.0
1,8,Llano (Mañana),1. AC/PHEV,1.0,11.0
1,8,Llano (Mañana),3. HPC 150,64.2,117.08
1,8,Llano (Mañana),3. HPC 150,42.23,91.33
1,8,Llano (Mañana),3. HPC 150,68.32,103.9
1,8,Llano (Mañana),2. DC Estándar,26.12,50.0
1,8,Llano (Mañana),1. AC/PHEV,11.8,11.0
1,8,Llano (Mañana),2. DC Estándar,23.17,50.0
1,8,Llano (Mañana),3. HPC 150,68.67,105.53
1,8,Llano (Mañana),3. HPC 150,37.05,114.04
1,8,Llano (Mañana),2. DC Estándar,23.4,50.0
1,8,Llano (Mañana),3. HPC 150,44.91,109.5
1,8,Llano (Mañana),1. AC/PHEV,15.31,11.0
1,8,Llano (Mañana),1. AC/PHEV,10.7,11.0
1,8,Llano (Mañana),2. DC Estándar,33.94,50.0
1,8,Llano (Mañana),2. DC Estándar,22.47,50.0
1,8,Llano (Mañana),2. DC Estándar,17.46,50.0
1,8,Llano (Mañana),2. DC Estándar,28.79,50.0
1,8,Llano (Mañana),3. HPC 150,40.52,120.58
1,8,Llano (Mañana),3. HPC 150,60.65,101.06
1,8,Llano (Mañana),1. AC/PHEV,9.67,11.0
1,8,Llano (Mañana),3. HPC 150,42.39,123.35
1,8,Llano (Mañana),1. AC/PHEV,4.7,11.0
1,8,Llano (Mañana),1. AC/PHEV,9.75,11.0
1,8,Llano (Mañana),3. HPC 150,51.45,99.1
1,8,Llano (Mañana),2. DC Estándar,25.21,50.0
1,8,Llano (Mañana),2. DC Estándar,29.93,50.0
1,8,Llano (Mañana),2. DC Estándar,27.55,50.0
1,8,Llano (Mañana),2. DC Estándar,18.31,50.0
1,8,Llano (Mañana),1. AC/PHEV,10.61,11.0
1,8,Llano (Mañana),3. HPC 150,58.53,114.21
1,8,Llano (Mañana),1. AC/PHEV,16.69,11.0
1,8,Llano (Mañana),3. HPC 150,63.81,95.01
1,8,Llano (Mañana),2. DC Estándar,22.44,50.0
1,8,Llano (Mañana),3. HPC 150,66.67,104.71
1,8,Llano (Mañana),3. HPC 150,51.85,94.78
1,9,Llano (Mañana),1. AC/PHEV,4.57,11.0
1,9,Llano (Mañana),1. AC/PHEV,11.66,11.0
1,9,Llano (Mañana),3. HPC 150,71.47,80.3
1,9,Llano (Mañana),3. HPC 150,40.52,120.95
1,9,Llano (Mañana),2. DC Estándar,26.44,50.0
1,9,Llano (Mañana),3. HPC 150,48.55,87.88
1,9,Llano (Mañana),4. HPC 350,82.78,216.91
1,9,Llano (Mañana),2. DC Estándar,28.74,50.0
1,9,Llano (Mañana),2. DC Estándar,17.81,50.0
1,9,Llano (Mañana),2. DC Estándar,20.63,50.0
1,9,Llano (Mañana),3. HPC 150,39.26,122.24
1,9,Llano (Mañana),3. HPC 150,52.2,110.51
1,9,Llano (Mañana),2. DC Estándar,30.15,50.0
1,9,Llano (Mañana),3. HPC 150,55.86,124.15
1,9,Llano (Mañana),3. HPC 150,43.08,112.56
1,9,Llano (Mañana),3. HPC 150,62.13,92.08
1,9,Llano (Mañana),2. DC Estándar,25.75,50.0
1,9,Llano (Mañana),3. HPC 150,24.95,107.24
1,9,Llano (Mañana),2. DC Estándar,22.25,50.0
1,9,Llano (Mañana),4. HPC 350,65.18,163.24
1,9,Llano (Mañana),3. HPC 150,54.7,110.83
1,9,Llano (Mañana),3. HPC 150,38.28,103.09
1,9,Llano (Mañana),3. HPC 150,45.61,128.67
1,9,Llano (Mañana),2. DC Estándar,21.73,50.0
1,9,Llano (Mañana),3. HPC 150,40.01,128.45
1,9,Llano (Mañana),3. HPC 150,67.89,118.25
1,9,Llano (Mañana),2. DC Estándar,28.28,50.0
1,9,Llano (Mañana),1. AC/PHEV,10.63,11.0
1,9,Llano (Mañana),3. HPC 150,36.73,90.87
1,9,Llano (Mañana),4. HPC 350,80.52,185.67
1,9,Llano (Mañana),3. HPC 150,57.24,106.16
1,9,Llano (Mañana),3. HPC 150,48.87,88.64
1,9,Llano (Mañana),2. DC Estándar,24.45,50.0
1,9,Llano (Mañana),3. HPC 150,56.75,115.99
1,9,Llano (Mañana),3. HPC 150,40.98,111.24
1,9,Llano (Mañana),2. DC Estándar,17.09,50.0
1,9,Llano (Mañana),3. HPC 150,61.39,108.53
1,9,Llano (Mañana),2. DC Estándar,20.6,50.0
1,9,Llano (Mañana),2. DC Estándar,21.99,50.0
1,9,Llano (Mañana),2. DC Estándar,17.33,50.0
1,9,Llano (Mañana),3. HPC 150,39.94,90.66
1,9,Llano (Mañana),4. HPC 350,60.05,216.89
1,9,Llano (Mañana),2. DC Estándar,19.54,50.0
1,10,Llano (Mañana),4. HPC 350,79.3,207.04
1,10,Llano (Mañana),3. HPC 150,55.43,106.36
1,10,Llano (Mañana),1. AC/PHEV,11.05,11.0
1,10,Llano (Mañana),3. HPC 150,51.2,94.07
1,10,Llano (Mañana),2. DC Estándar,33.66,50.0
1,10,Llano (Mañana),2. DC Estándar,25.24,50.0
1,10,Llano (Mañana),3. HPC 150,47.54,119.43
1,10,Llano (Mañana),3. HPC 150,61.43,118.32
1,10,Llano (Mañana),2. DC Estándar,16.89,50.0
1,10,Llano (Mañana),2. DC Estándar,33.83,50.0
1,10,Llano (Mañana),3. HPC 150,37.35,114.6
1,10,Llano (Mañana),3. HPC 150,44.85,97.83
1,10,Llano (Mañana),2. DC Estándar,24.63,50.0
1,10,Llano (Mañana),1. AC/PHEV,20.0,11.0
1,10,Llano (Mañana),2. DC Estándar,24.43,50.0
1,10,Llano (Mañana),3. HPC 150,52.59,87.47
1,10,Llano (Mañana),4. HPC 350,62.55,193.39
1,10,Llano (Mañana),1. AC/PHEV,6.72,11.0
1,10,Llano (Mañana),3. HPC 150,43.43,93.46
1,10,Llano (Mañana),3. HPC 150,64.37,89.56
1,10,Llano (Mañana),2. DC Estándar,29.85,50.0
1,10,Llano (Mañana),1. AC/PHEV,1.0,11.0
1,10,Llano (Mañana),3. HPC 150,52.57,123.33
1,10,Llano (Mañana),2. DC Estándar,24.29,50.0
1,10,Llano (Mañana),4. HPC 350,53.86,204.7
1,10,Llano (Mañana),2. DC Estándar,22.41,50.0
1,10,Llano (Mañana),3. HPC 150,53.55,91.42
1,10,Llano (Mañana),2. DC Estándar,26.46,50.0
1,10,Llano (Mañana),3. HPC 150,63.66,111.63
1,10,Llano (Mañana),3. HPC 150,56.45,113.13
1,10,Llano (Mañana),3. HPC 150,57.27,88.72
1,10,Llano (Mañana),2. DC Estándar,24.22,50.0
1,10,Llano (Mañana),2. DC Estándar,23.6,50.0
1,10,Llano (Mañana),2. DC Estándar,27.4,50.0
1,10,Llano (Mañana),1. AC/PHEV,10.49,11.0
1,10,Llano (Mañana),3. HPC 150,35.84,118.36
1,10,Llano (Mañana),3. HPC 150,69.47,106.02
1,10,Llano (Mañana),2. DC Estándar,22.38,50.0
1,10,Llano (Mañana),2. DC Estándar,30.02,50.0
1,10,Llano (Mañana),2. DC Estándar,26.12,50.0
1,10,Llano (Mañana),2. DC Estándar,29.98,50.0
1,10,Llano (Mañana),3. HPC 150,61.47,99.13
1,10,Llano (Mañana),2. DC Estándar,27.95,50.0
1,10,Llano (Mañana),3. HPC 150,45.41,92.17
1,10,Llano (Mañana),3. HPC 150,45.45,114.93
1,11,Punta (Mediodía),3. HPC 150,60.85,105.3
1,11,Punta (Mediodía),2. DC Estándar,20.78,50.0
1,11,Punta (Mediodía),3. HPC 150,36.94,88.12
1,11,Punta (Mediodía),2. DC Estándar,29.05,50.0
1,11,Punta (Mediodía),2. DC Estándar,19.87,50.0
1,11,Punta (Mediodía),1. AC/PHEV,27.09,11.0
1,11,Punta (Mediodía),2. DC Estándar,26.5,50.0
1,11,Punta (Mediodía),3. HPC 150,55.47,128.89
1,11,Punta (Mediodía),2. DC Estándar,18.89,50.0
1,11,Punta (Mediodía),3. HPC 150,64.02,115.87
1,11,Punta (Mediodía),2. DC Estándar,28.18,50.0
1,11,Punta (Mediodía),2. DC Estándar,28.43,50.0
1,11,Punta (Mediodía),2. DC Estándar,26.18,50.0
1,11,Punta (Mediodía),3. HPC 150,41.7,116.23
1,11,Punta (Mediodía),3. HPC 150,38.2,128.27
1,11,Punta (Mediodía),2. DC Estándar,21.72,50.0
1,11,Punta (Mediodía),3. HPC 150,53.98,100.09
1,11,Punta (Mediodía),3. HPC 150,46.6,123.82
1,11,Punta (Mediodía),1. AC/PHEV,5.65,11.0
1,11,Punta (Mediodía),4. HPC 350,79.44,186.11
1,11,Punta (Mediodía),1. AC/PHEV,7.21,11.0
1,11,Punta (Mediodía),3. HPC 150,55.82,121.95
1,11,Punta (Mediodía),3. HPC 150,41.89,106.45
1,11,Punta (Mediodía),4. HPC 350,58.04,183.67
1,11,Punta (Mediodía),3. HPC 150,72.07,98.47
1,11,Punta (Mediodía),1. AC/PHEV,5.25,11.0
1,11,Punta (Mediodía),2. DC Estándar,30.97,50.0
1,11,Punta (Mediodía),1. AC/PHEV,10.34,11.0
1,11,Punta (Mediodía),2. DC Estándar,26.19,50.0
1,11,Punta (Mediodía),3. HPC 150,30.68,121.38
1,11,Punta (Mediodía),3. HPC 150,42.88,87.06
1,11,Punta (Mediodía),3. HPC 150,63.01,116.69
1,11,Punta (Mediodía),4. HPC 350,89.04,188.44
1,11,Punta (Mediodía),3. HPC 150,46.58,107.83
1,11,Punta (Mediodía),2. DC Estándar,22.6,50.0
1,11,Punta (Mediodía),2. DC Estándar,27.24,50.0
1,11,Punta (Mediodía),3. HPC 150,49.17,87.82
1,11,Punta (Mediodía),3. HPC 150,45.14,110.88
1,11,Punta (Mediodía),3. HPC 150,60.12,122.28
1,11,Punta (Mediodía),1. AC/PHEV,16.96,11.0
1,11,Punta (Mediodía),2. DC Estándar,14.21,50.0
1,11,Punta (Mediodía),2. DC Estándar,24.16,50.0
1,11,Punta (Mediodía),3. HPC 150,54.75,87.38
1,11,Punta (Mediodía),3. HPC 150,60.04,121.18
1,11,Punta (Mediodía),4. HPC 350,73.04,203.65
1,11,Punta (Mediodía),3. HPC 150,45.28,104.44
1,11,Punta (Mediodía),2. DC Estándar,22.69,50.0
1,11,Punta (Mediodía),3. HPC 150,84.78,118.17
1,11,Punta (Mediodía),3. HPC 150,44.08,125.12
1,11,Punta (Mediodía),3. HPC 150,73.53,127.58
1,11,Punta (Mediodía),3. HPC 150,70.53,126.15
1,11,Punta (Mediodía),2. DC Estándar,22.3,50.0
1,11,Punta (Mediodía),3. HPC 150,52.82,123.76
1,11,Punta (Mediodía),3. HPC 150,45.87,97.43
1,11,Punta (Mediodía),2. DC Estándar,22.92,50.0
1,11,Punta (Mediodía),3. HPC 150,52.65,116.78
1,11,Punta (Mediodía),4. HPC 350,84.99,169.13
1,11,Punta (Mediodía),4. HPC 350,64.01,211.8
1,11,Punta (Mediodía),2. DC Estándar,25.51,50.0
1,11,Punta (Mediodía),2. DC Estándar,26.22,50.0
1,11,Punta (Mediodía),2. DC Estándar,35.38,50.0
1,11,Punta (Mediodía),3. HPC 150,75.56,126.95
1,11,Punta (Mediodía),2. DC Estándar,26.02,50.0
1,11,Punta (Mediodía),1. AC/PHEV,28.85,11.0
1,11,Punta (Mediodía),2. DC Estándar,20.58,50.0
1,11,Punta (Mediodía),2. DC Estándar,32.66,50.0
1,11,Punta (Mediodía),2. DC Estándar,33.55,50.0
1,11,Punta (Mediodía),3. HPC 150,46.54,85.56
1,11,Punta (Mediodía),2. DC Estándar,30.98,50.0
1,11,Punta (Mediodía),3. HPC 150,48.79,95.4
1,11,Punta (Mediodía),2. DC Estándar,31.88,50.0
1,11,Punta (Mediodía),4. HPC 350,53.7,217.95
1,11,Punta (Mediodía),3. HPC 150,57.36,104.71
1,11,Punta (Mediodía),3. HPC 150,67.75,91.96
1,11,Punta (Mediodía),2. DC Estándar,20.6,50.0
1,11,Punta (Mediodía),3. HPC 150,43.86,99.1
1,11,Punta (Mediodía),2. DC Estándar,23.12,50.0
1,11,Punta (Mediodía),2. DC Estándar,16.68,50.0
1,11,Punta (Mediodía),3. HPC 150,24.42,114.08
1,11,Punta (Mediodía),2. DC Estándar,27.01,50.0
1,11,Punta (Mediodía),4. HPC 350,71.59,172.53
1,11,Punta (Mediodía),3. HPC 150,51.37,90.72
1,11,Punta (Mediodía),2. DC Estándar,24.4,50.0
1,11,Punta (Mediodía),3. HPC 150,61.78,113.58
1,11,Punta (Mediodía),2. DC Estándar,26.9,50.0
1,11,Punta (Mediodía),2. DC Estándar,25.12,50.0
1,11,Punta (Mediodía),1. AC/PHEV,10.17,11.0
1,11,Punta (Mediodía),2. DC Estándar,24.12,50.0
1,11,Punta (Mediodía),3. HPC 150,32.16,123.94
1,11,Punta (Mediodía),2. DC Estándar,24.11,50.0
1,11,Punta (Mediodía),3. HPC 150,43.54,122.42
1,11,Punta (Mediodía),3. HPC 150,48.64,89.88
1,11,Punta (Mediodía),3. HPC 150,35.68,108.46
1,11,Punta (Mediodía),3. HPC 150,50.85,116.58
1,11,Punta (Mediodía),2. DC Estándar,20.91,50.0
1,11,Punta (Mediodía),1. AC/PHEV,17.7,11.0
1,11,Punta (Mediodía),1. AC/PHEV,9.44,11.0
1,11,Punta (Mediodía),1. AC/PHEV,4.37,11.0
1,11,Punta (Mediodía),2. DC Estándar,29.7,50.0
1,11,Punta (Mediodía),3. HPC 150,45.22,103.27
1,11,Punta (Mediodía),2. DC Estándar,23.99,50.0
1,11,Punta (Mediodía),3. HPC 150,51.02,129.68
1,11,Punta (Mediodía),4. HPC 350,83.55,213.27
1,11,Punta (Mediodía),3. HPC 150,62.76,128.08
1,11,Punta (Mediodía),1. AC/PHEV,8.73,11.0
1,11,Punta (Mediodía),3. HPC 150,44.74,107.49
1,11,Punta (Mediodía),3. HPC 150,53.73,84.46
1,11,Punta (Mediodía),4. HPC 350,87.6,165.7
1,11,Punta (Mediodía),4. HPC 350,81.29,189.23
1,11,Punta (Mediodía),2. DC Estándar,22.51,50.0
1,11,Punta (Mediodía),2. DC Estándar,23.8,50.0
1,11,Punta (Mediodía),3. HPC 150,69.82,114.76
1,11,Punta (Mediodía),1. AC/PHEV,6.85,11.0
1,11,Punta (Mediodía),1. AC/PHEV,23.25,11.0
1,11,Punta (Mediodía),2. DC Estándar,32.95,50.0
1,11,Punta (Mediodía),2. DC Estándar,24.58,50.0
1,11,Punta (Mediodía),1. AC/PHEV,13.73,11.0
1,11,Punta (Mediodía),2. DC Estándar,30.25,50.0
1,11,Punta (Mediodía),2. DC Estándar,24.21,50.0
1,11,Punta (Mediodía),2. DC Estándar,29.58,50.0
1,11,Punta (Mediodía),3. HPC 150,47.78,111.58
1,12,Punta (Mediodía),2. DC Estándar,25.16,50.0
1,12,Punta (Mediodía),1. AC/PHEV,24.24,11.0
1,12,Punta (Mediodía),2. DC Estándar,31.48,50.0
1,12,Punta (Mediodía),4. HPC 350,63.13,203.67
1,12,Punta (Mediodía),3. HPC 150,60.4,87.23
1,12,Punta (Mediodía),1. AC/PHEV,8.49,11.0
1,12,Punta (Mediodía),2. DC Estándar,22.08,50.0
1,12,Punta (Mediodía),4. HPC 350,85.57,203.54
1,12,Punta (Mediodía),2. DC Estándar,35.63,50.0
1,12,Punta (Mediodía),2. DC Estándar,23.28,50.0
1,12,Punta (Mediodía),3. HPC 150,48.87,97.64
1,12,Punta (Mediodía),3. HPC 150,38.23,113.62
1,12,Punta (Mediodía),1. AC/PHEV,10.73,11.0
1,12,Punta (Mediodía),1. AC/PHEV,11.87,11.0
1,12,Punta (Mediodía),3. HPC 150,60.59,114.26
1,12,Punta (Mediodía),3. HPC 150,63.99,118.81
1,12,Punta (Mediodía),3. HPC 150,64.24,120.79
1,12,Punta (Mediodía),2. DC Estándar,25.46,50.0
1,12,Punta (Mediodía),4. HPC 350,65.62,176.75
1,12,Punta (Mediodía),3. HPC 150,34.45,114.66
1,12,Punta (Mediodía),4. HPC 350,72.52,186.31
1,12,Punta (Mediodía),2. DC Estándar,25.21,50.0
1,12,Punta (Mediodía),1. AC/PHEV,4.38,11.0
1,12,Punta (Mediodía),3. HPC 150,50.28,128.74
1,12,Punta (Mediodía),4. HPC 350,88.93,214.71
1,12,Punta (Mediodía),2. DC Estándar,20.31,50.0
1,12,Punta (Mediodía),3. HPC 150,46.84,113.72
1,12,Punta (Mediodía),2. DC Estándar,16.7,50.0
1,12,Punta (Mediodía),3. HPC 150,39.34,110.46
1,12,Punta (Mediodía),2. DC Estándar,23.95,50.0
1,12,Punta (Mediodía),3. HPC 150,36.89,109.48
1,12,Punta (Mediodía),2. DC Estándar,25.87,50.0
1,12,Punta (Mediodía),4. HPC 350,59.46,202.77
1,12,Punta (Mediodía),4. HPC 350,77.5,180.34
1,12,Punta (Mediodía),4. HPC 350,57.95,179.75
1,12,Punta (Mediodía),3. HPC 150,70.58,119.84
1,12,Punta (Mediodía),4. HPC 350,75.27,190.51
1,12,Punta (Mediodía),2. DC Estándar,28.46,50.0
1,12,Punta (Mediodía),2. DC Estándar,31.32,50.0
1,12,Punta (Mediodía),4. HPC 350,82.17,150.92
1,12,Punta (Mediodía),1. AC/PHEV,8.08,11.0
1,12,Punta (Mediodía),2. DC Estándar,21.63,50.0
1,12,Punta (Mediodía),3. HPC 150,67.12,121.82
1,12,Punta (Mediodía),3. HPC 150,57.11,114.19
1,12,Punta (Mediodía),2. DC Estándar,18.82,50.0
1,12,Punta (Mediodía),3. HPC 150,59.31,89.28
1,12,Punta (Mediodía),4. HPC 350,79.25,218.32
1,12,Punta (Mediodía),3. HPC 150,44.54,116.6
1,12,Punta (Mediodía),3. HPC 150,46.03,98.96
1,12,Punta (Mediodía),2. DC Estándar,28.1,50.0
1,12,Punta (Mediodía),2. DC Estándar,20.58,50.0
1,12,Punta (Mediodía),2. DC Estándar,30.8,50.0
1,12,Punta (Mediodía),1. AC/PHEV,6.54,11.0
1,12,Punta (Mediodía),3. HPC 150,42.24,116.64
1,12,Punta (Mediodía),2. DC Estándar,31.25,50.0
1,12,Punta (Mediodía),3. HPC 150,46.31,112.95
1,12,Punta (Mediodía),3. HPC 150,56.03,89.16
1,12,Punta (Mediodía),3. HPC 150,41.81,80.8
1,12,Punta (Mediodía),3. HPC 150,37.91,102.52
1,12,Punta (Mediodía),3. HPC 150,33.7,101.85
1,12,Punta (Mediodía),4. HPC 350,80.61,195.58
1,12,Punta (Mediodía),4. HPC 350,50.66,215.46
1,12,Punta (Mediodía),3. HPC 150,47.39,80.19
1,12,Punta (Mediodía),2. DC Estándar,19.56,50.0
1,12,Punta (Mediodía),4. HPC 350,75.98,219.23
1,12,Punta (Mediodía),3. HPC 150,50.23,89.84
1,12,Punta (Mediodía),3. HPC 150,52.52,112.76
1,12,Punta (Mediodía),3. HPC 150,50.3,112.38
1,12,Punta (Mediodía),1. AC/PHEV,16.9,11.0
1,12,Punta (Mediodía),4. HPC 350,58.37,187.88
1,12,Punta (Mediodía),1. AC/PHEV,20.07,11.0
1,12,Punta (Mediodía),4. HPC 350,70.65,198.01
1,12,Punta (Mediodía),2. DC Estándar,25.08,50.0
1,12,Punta (Mediodía),3. HPC 150,47.56,94.43
1,12,Punta (Mediodía),2. DC Estándar,27.74,50.0
1,12,Punta (Mediodía),3. HPC 150,45.45,85.79
1,12,Punta (Mediodía),2. DC Estándar,18.84,50.0
1,12,Punta (Mediodía),2. DC Estándar,23.17,50.0
1,12,Punta (Mediodía),2. DC Estándar,23.85,50.0
1,12,Punta (Mediodía),1. AC/PHEV,9.15,11.0
1,12,Punta (Mediodía),3. HPC 150,37.58,126.62
1,12,Punta (Mediodía),3. HPC 150,52.14,85.37
1,12,Punta (Mediodía),3. HPC 150,41.33,97.61
1,12,Punta (Mediodía),3. HPC 150,68.7,94.35
1,12,Punta (Mediodía),3. HPC 150,49.57,128.14
1,12,Punta (Mediodía),3. HPC 150,46.04,82.13
1,12,Punta (Mediodía),2. DC Estándar,24.4,50.0
1,12,Punta (Mediodía),1. AC/PHEV,1.0,11.0
1,12,Punta (Mediodía),2. DC Estándar,23.18,50.0
1,12,Punta (Mediodía),1. AC/PHEV,9.76,11.0
1,12,Punta (Mediodía),1. AC/PHEV,9.5,11.0
1,12,Punta (Mediodía),3. HPC 150,54.24,129.16
1,12,Punta (Mediodía),3. HPC 150,39.79,97.72
1,12,Punta (Mediodía),1. AC/PHEV,33.17,11.0
1,12,Punta (Mediodía),3. HPC 150,32.12,101.48
1,12,Punta (Mediodía),2. DC Estándar,21.87,50.0
1,12,Punta (Mediodía),2. DC Estándar,22.87,50.0
1,12,Punta (Mediodía),3. HPC 150,48.72,122.56
1,12,Punta (Mediodía),2. DC Estándar,26.75,50.0
1,12,Punta (Mediodía),4. HPC 350,56.61,193.47
1,12,Punta (Mediodía),3. HPC 150,52.59,94.75
1,12,Punta (Mediodía),3. HPC 150,48.99,86.48
1,12,Punta (Mediodía),1. AC/PHEV,8.32,11.0
1,12,Punta (Mediodía),3. HPC 150,39.75,86.24
1,12,Punta (Mediodía),2. DC Estándar,19.73,50.0
1,12,Punta (Mediodía),1. AC/PHEV,5.7,11.0
1,12,Punta (Mediodía),2. DC Estándar,30.22,50.0
1,12,Punta (Mediodía),2. DC Estándar,23.13,50.0
1,12,Punta (Mediodía),3. HPC 150,37.16,116.74
1,12,Punta (Mediodía),3. HPC 150,61.17,126.91
1,12,Punta (Mediodía),2. DC Estándar,24.58,50.0
1,12,Punta (Mediodía),3. HPC 150,37.51,91.72
1,12,Punta (Mediodía),2. DC Estándar,24.02,50.0
