"","V1","V2","V3","V4","V5"
"128","s","sw","s","s","sw"
"129","s","sw","sw","sw","s"
"130","sw","sw","sw","s","sw"
"131","s","s","sw","s","sw"
"132","s","s","s","s","sw"
"133","s","s","sw","sw","sw"
"134","s","s","sw","sw","sw"
"135","sw","sw","sw","sw","sw"
"136","s","s","s","s","sw"
"137","s","sw","s","c","s"
"138","s","s","s","s","s"
"139","sw","sw","sw","sw","sw"
"140","sw","sw","sw","sw","s"
"141","s","s","sw","sw","s"
"142","s","s","s","s","sw"
"143","sw","s","sw","sw","sw"
"144","sw","sw","s","s","s"
"145","sw","s","sw","s","sw"
"146","s","sw","s","s","s"
"147","sw","s","c","s","s"
"148","sw","s","s","s","c"
"149","s","s","sw","sw","sw"
"150","s","s","sw","s","s"
"151","s","s","s","sw","sw"
"152","sw","s","s","s","s"
"153","s","sw","sw","sw","sw"
"154","sw","sw","s","sw","s"
"155","sw","s","sw","sw","sw"
"156","sw","sw","s","sw","sw"
"157","s","s","sw","s","s"
"158","s","s","s","c","c"
"159","s","s","s","sw","sw"
"160","sw","sw","sw","sw","sw"
"161","sw","sw","sw","sw","s"
"162","s","s","sw","s","s"
"163","sw","sw","s","sw","sw"
"164","sw","sw","sw","sw","s"
"165","s","sw","s","sw","sw"
"166","sw","sw","sw","s","s"
"167","sw","sw","s","sw","sw"
"168","s","sw","sw","sw","s"
"169","sw","s","s","sw","sw"
"170","s","s","s","s","s"
"171","sw","s","sw","sw","sw"
"172","s","s","s","sw","sw"
"173","sw","s","s","sw","sw"
"174","sw","sw","sw","sw","sw"
"175","sw","s","s","sw","s"
"176","s","sw","s","sw","sw"
"177","s","sw","sw","s","c"
"178","s","s","s","s","sw"
"179","s","sw","sw","s","sw"
"180","sw","sw","sw","s","c"
"181","s","sw","sw","s","s"
"182","sw","s","sw","sw","sw"
"183","sw","s","sw","sw","s"
"184","sw","sw","sw","sw","s"
"185","s","s","sw","s","sw"
"186","sw","sw","sw","s","sw"
"187","sw","s","sw","s","s"
"188","s","sw","s","s","c"
"189","s","s","s","s","s"
"190","s","s","s","s","sw"
"191","sw","s","s","s","c"
"192","s","s","s","s","s"
"193","s","sw","sw","s","sw"
"194","sw","sw","s","s","sw"
"195","sw","s","s","s","sw"
"196","s","s","s","s","s"
"197","sw","s","sw","s","sw"
"198","sw","sw","sw","sw","sw"
"199","sw","sw","sw","sw","s"
"200","sw","sw","s","s","s"
"201","sw","sw","s","sw","sw"
"202","s","s","s","s","s"
"203","s","s","s","s","sw"
"204","sw","s","s","s","s"
"205","sw","sw","sw","s","s"
"206","sw","sw","sw","sw","sw"
"207","sw","sw","sw","s","s"
"208","s","sw","sw","sw","s"
"209","sw","sw","sw","sw","sw"
"210","sw","sw","s","c","s"
"211","sw","s","s","sw","sw"
"212","s","s","s","sw","s"
"213","s","s","s","s","sw"
"214","sw","sw","s","sw","s"
"215","sw","s","sw","s","sw"
"216","sw","sw","sw","sw","sw"
"217","sw","sw","sw","s","s"
"218","s","s","sw","sw","s"
"219","s","s","s","sw","s"
"220","c","s","s","s","sw"
"221","s","s","sw","s","s"
"222","sw","s","c","s","s"
"223","sw","sw","sw","sw","sw"
"224","sw","s","s","sw","sw"
"225","sw","s","s","s","s"
"226","c","s","s","sw","sw"
"227","s","sw","sw","s","sw"
"228","sw","sw","sw","sw","s"
"229","s","s","c","s","s"
"230","sw","s","s","s","c"
"231","s","sw","s","s","s"
"232","s","sw","sw","sw","sw"
"233","sw","sw","sw","sw","sw"
"234","s","s","s","c","s"
"235","s","sw","s","s","s"
"236","sw","sw","sw","s","s"
"237","s","sw","s","sw","sw"
"238","sw","s","sw","sw","sw"
"239","sw","sw","s","s","s"
"240","sw","sw","s","s","sw"
"241","s","s","sw","sw","s"
"242","s","s","sw","sw","sw"
"243","s","s","s","s","sw"
"244","sw","s","s","c","s"
"245","s","s","sw","s","s"
"246","s","s","sw","sw","sw"
"247","sw","sw","sw","sw","sw"
"248","sw","s","c","s","s"
"249","s","sw","sw","s","s"
"250","sw","sw","sw","s","sw"
"251","sw","sw","sw","sw","s"
"252","s","s","c","s","s"
"253","sw","sw","sw","s","s"
"254","sw","s","s","c","s"
"255","sw","sw","sw","s","sw"
"256","s","sw","sw","sw","sw"
"257","s","sw","s","sw","sw"
"258","s","s","s","s","sw"
"259","sw","sw","s","s","s"
"260","sw","s","sw","sw","sw"
"261","sw","sw","s","sw","sw"
"262","sw","sw","s","s","s"
"263","s","sw","sw","s","s"
"264","sw","sw","sw","sw","s"
"265","s","c","s","c","s"
"266","s","s","s","sw","sw"
"267","sw","sw","s","s","s"
"268","sw","s","sw","sw","sw"
"269","sw","sw","sw","s","c"
"270","s","sw","sw","sw","sw"
"271","sw","sw","sw","sw","sw"
"272","sw","s","s","s","sw"
"273","sw","s","s","s","s"
"274","s","sw","sw","sw","sw"
"275","sw","sw","s","sw","s"
"276","s","c","s","sw","sw"
"277","sw","s","s","sw","sw"
"278","sw","s","s","s","c"
"279","s","s","s","s","sw"
"280","s","s","s","s","s"
"281","s","s","s","s","sw"
"282","sw","s","s","c","s"
"283","c","s","s","s","sw"
"284","sw","sw","s","s","sw"
"285","sw","sw","s","s","s"
"286","s","c","c","s","sw"
"287","sw","s","sw","sw","sw"
"288","s","sw","s","s","s"
"289","sw","sw","sw","s","sw"
"290","sw","sw","sw","sw","sw"
"291","s","sw","sw","sw","s"
"292","s","sw","s","s","c"
"293","s","sw","sw","sw","s"
"294","c","s","s","s","sw"
"295","sw","s","s","s","sw"
"296","sw","s","sw","s","sw"
"297","sw","s","sw","s","s"
"298","sw","sw","sw","s","s"
"299","s","c","c","s","sw"
"300","s","s","sw","sw","s"
"301","c","s","s","sw","sw"
"302","sw","sw","sw","sw","sw"
"303","s","sw","sw","sw","sw"
"304","sw","sw","sw","sw","s"
"305","s","sw","sw","s","s"
"306","s","s","sw","sw","s"
"307","sw","s","s","s","s"
"308","s","s","c","s","s"
"309","sw","sw","sw","s","s"
"310","s","s","sw","s","c"
"311","s","s","s","s","s"
"312","sw","sw","sw","s","sw"
"313","sw","s","s","s","s"
"314","s","sw","sw","s","s"
"315","s","sw","sw","sw","s"
"316","s","s","s","s","sw"
"317","sw","sw","sw","s","sw"
"318","s","s","s","s","sw"
"319","s","sw","sw","sw","sw"
"320","sw","sw","s","s","sw"
"321","sw","sw","s","sw","sw"
"322","s","s","sw","sw","sw"
"323","s","s","c","c","s"
"324","sw","sw","sw","sw","sw"
"325","sw","sw","s","s","sw"
"326","sw","sw","s","sw","s"
"327","s","s","sw","s","sw"
"328","sw","sw","sw","s","s"
"329","sw","s","c","s","c"
"330","c","c","s","s","s"
"331","sw","sw","sw","sw","sw"
"332","sw","s","s","sw","s"
"333","s","s","sw","s","s"
"334","c","s","s","s","sw"
"335","sw","sw","s","s","sw"
"336","sw","s","sw","sw","sw"
"337","sw","s","s","s","s"
"338","s","sw","s","c","s"
"339","s","s","sw","s","sw"
"340","s","sw","sw","sw","s"
"341","s","s","c","c","s"
"342","s","sw","s","sw","sw"
"343","sw","sw","s","s","c"
"344","s","s","c","s","sw"
"345","sw","sw","sw","sw","s"
"346","s","sw","sw","sw","s"
"347","s","s","c","c","s"
"348","s","sw","s","sw","sw"
"349","s","sw","sw","sw","sw"
"350","s","sw","s","s","c"
"351","c","c","s","c","s"
"352","sw","sw","sw","s","sw"
"353","sw","sw","sw","sw","s"
"354","sw","sw","s","sw","s"
"355","sw","sw","s","s","s"
"356","s","s","sw","sw","sw"
"357","sw","s","sw","sw","sw"
"358","s","s","sw","s","s"
"359","s","sw","s","s","s"
"360","sw","s","sw","sw","sw"
"361","s","s","sw","s","s"
"362","c","s","sw","sw","sw"
"363","sw","s","sw","sw","sw"
"364","s","s","sw","sw","s"
"365","s","s","sw","sw","s"
"366","s","sw","s","sw","s"
"367","s","c","s","s","s"
"368","sw","sw","s","sw","sw"
"369","sw","sw","s","s","s"
"370","sw","sw","s","s","sw"
"371","s","s","s","sw","sw"
"372","s","s","sw","s","sw"
"373","s","s","sw","sw","sw"
"374","sw","s","s","sw","sw"
"375","s","s","s","s","c"
"376","s","s","c","s","sw"
"377","sw","sw","sw","sw","s"
"378","s","s","s","sw","sw"
"379","s","s","sw","s","sw"
"380","sw","s","s","s","s"
"381","s","s","sw","sw","sw"
"382","sw","s","sw","s","s"
"383","sw","sw","s","sw","sw"
"384","sw","s","sw","sw","s"
"385","s","c","s","sw","sw"
"386","sw","sw","sw","s","s"
"387","s","s","s","s","s"
"388","s","sw","sw","s","s"
"389","s","s","sw","sw","s"
"390","s","sw","s","s","s"
"391","sw","sw","sw","sw","sw"
"392","sw","s","sw","sw","s"
"393","s","s","s","s","s"
"394","s","s","c","s","s"
"395","sw","sw","sw","s","sw"
"396","sw","sw","s","s","sw"
"397","sw","sw","sw","s","s"
"398","s","s","sw","sw","sw"
"399","sw","s","s","s","sw"
"400","sw","s","s","s","s"
"401","s","s","s","s","sw"
"402","sw","sw","sw","sw","s"
"403","s","sw","s","c","s"
"404","sw","sw","sw","sw","s"
"405","s","c","s","s","s"
"406","sw","sw","sw","s","sw"
"407","sw","sw","sw","sw","s"
"408","sw","s","c","s","s"
"409","s","s","sw","s","sw"
"410","s","s","s","s","sw"
"411","sw","s","s","c","s"
"412","sw","s","sw","s","s"
"413","sw","s","sw","sw","sw"
"414","sw","sw","s","c","s"
"415","c","s","s","sw","s"
"416","s","s","c","s","s"
"417","sw","s","s","s","sw"
"418","sw","s","sw","sw","sw"
"419","sw","sw","sw","sw","s"
"420","c","s","s","s","sw"
"421","sw","sw","s","sw","s"
"422","s","s","sw","s","sw"
"423","sw","sw","sw","sw","sw"
"424","s","s","sw","s","c"
"425","s","s","s","sw","sw"
"426","s","s","s","c","s"
"427","s","s","s","sw","sw"
"428","sw","s","c","s","sw"
"429","sw","sw","sw","sw","sw"
"430","sw","sw","s","sw","sw"
"431","s","sw","sw","sw","sw"
"432","sw","s","s","s","c"
"433","s","sw","s","sw","s"
"434","s","c","s","s","s"
"435","s","s","s","sw","sw"
"436","sw","s","s","sw","s"
"437","sw","sw","sw","s","s"
"438","sw","s","s","sw","s"
"439","s","sw","s","sw","s"
"440","sw","sw","sw","sw","s"
"441","sw","s","s","s","sw"
"442","sw","s","sw","sw","sw"
"443","s","s","s","s","s"
"444","s","sw","sw","sw","sw"
"445","s","sw","sw","s","s"
"446","s","s","sw","sw","s"
"447","sw","sw","s","s","s"
"448","c","s","s","c","s"
"449","sw","sw","s","c","c"
"450","s","sw","sw","sw","s"
"451","c","s","sw","sw","sw"
"452","s","s","s","c","s"
"453","sw","sw","sw","s","s"
"454","s","sw","sw","sw","sw"
"455","sw","sw","sw","s","c"
"456","c","s","s","s","s"
"457","sw","sw","sw","sw","sw"
"458","sw","sw","s","s","s"
"459","sw","sw","sw","s","s"
"460","s","sw","s","sw","sw"
"461","s","s","sw","s","s"
"462","sw","s","c","s","s"
"463","s","s","sw","s","sw"
"464","sw","s","s","sw","s"
"465","s","s","sw","sw","sw"
"466","sw","sw","sw","sw","sw"
"467","sw","s","sw","s","s"
"468","s","c","c","c","s"
"469","s","c","c","s","s"
"470","sw","sw","sw","sw","s"
"471","sw","sw","s","s","s"
"472","s","s","s","s","s"
"473","sw","sw","s","s","s"
"474","s","sw","s","sw","s"
"475","s","s","s","s","s"
"476","c","s","s","c","s"
"477","s","c","s","c","s"
"478","sw","s","s","sw","sw"
"479","sw","sw","sw","s","c"
"480","s","s","sw","s","sw"
"481","s","s","c","c","s"
"482","s","sw","s","s","sw"
"483","s","s","s","sw","sw"
"484","sw","sw","s","s","sw"
"485","s","s","s","sw","sw"
"486","sw","s","s","sw","s"
"487","s","s","sw","sw","sw"
"488","sw","s","s","sw","s"
"489","s","s","s","s","sw"
"490","sw","sw","sw","sw","s"
"491","s","s","sw","s","c"
"492","s","s","sw","sw","sw"
"493","s","c","s","s","s"
"494","s","s","s","s","s"
"495","s","s","sw","sw","sw"
"496","s","s","sw","sw","sw"
"497","sw","s","s","c","s"
"498","s","sw","sw","s","sw"
"499","sw","sw","s","sw","s"
"500","c","s","sw","sw","s"
"501","sw","s","s","sw","sw"
"502","s","sw","s","s","s"
"503","s","s","s","sw","s"
"504","s","sw","sw","sw","s"
"505","sw","s","s","s","c"
"506","s","s","s","c","c"
"507","s","sw","sw","s","s"
"508","s","sw","s","sw","s"
"509","s","sw","s","sw","s"
"510","s","c","s","s","sw"
"511","sw","sw","sw","s","sw"
"512","sw","sw","sw","sw","sw"
"513","s","s","s","s","sw"
"514","sw","sw","sw","s","s"
"515","s","s","s","s","s"
"516","s","s","s","sw","s"
"517","s","c","s","s","sw"
"518","s","sw","sw","sw","sw"
"519","s","sw","sw","sw","s"
"520","s","sw","s","s","s"
"521","sw","sw","s","s","s"
"522","sw","sw","s","s","sw"
"523","sw","sw","sw","sw","s"
"524","s","sw","sw","s","c"
"525","s","s","sw","s","s"
"526","s","s","s","s","sw"
"527","s","s","s","s","s"
"528","sw","s","sw","sw","sw"
"529","s","s","s","c","c"
"530","c","s","sw","sw","s"
"531","sw","s","s","s","sw"
"532","sw","s","s","sw","sw"
"533","sw","s","s","s","sw"
"534","sw","sw","sw","sw","sw"
"535","sw","s","s","s","s"
"536","s","sw","sw","sw","sw"
"537","sw","s","c","s","sw"
"538","sw","s","s","c","s"
"539","s","s","sw","s","c"
"540","s","sw","s","c","s"
"541","sw","sw","s","s","c"
"542","c","c","c","s","c"
"543","s","s","s","s","sw"
"544","sw","sw","s","sw","s"
"545","s","s","c","c","c"
"546","c","s","s","s","s"
"547","sw","s","s","sw","sw"
"548","s","sw","s","sw","sw"
"549","sw","sw","sw","s","sw"
"550","sw","sw","sw","sw","s"
"551","s","s","sw","sw","sw"
"552","sw","s","sw","sw","s"
"553","s","sw","sw","s","s"
"554","sw","sw","s","sw","sw"
"555","sw","sw","sw","sw","s"
"556","sw","sw","sw","sw","sw"
"557","s","s","c","c","s"
"558","sw","sw","s","sw","sw"
"559","sw","s","s","sw","sw"
"560","sw","s","s","sw","sw"
"561","sw","sw","sw","s","sw"
"562","sw","s","sw","s","sw"
"563","sw","s","sw","s","s"
"564","s","c","s","sw","sw"
"565","sw","s","sw","sw","sw"
"566","s","s","sw","sw","s"
"567","sw","s","sw","sw","sw"
"568","s","s","sw","s","s"
"569","s","sw","s","sw","s"
"570","sw","sw","sw","sw","s"
"571","s","s","s","sw","sw"
"572","sw","s","s","sw","s"
"573","s","s","s","sw","s"
"574","sw","s","s","s","sw"
"575","sw","sw","sw","s","sw"
"576","sw","sw","sw","s","s"
"577","sw","s","sw","sw","s"
"578","sw","sw","s","sw","sw"
"579","s","s","s","s","s"
"580","sw","s","s","s","c"
"581","s","sw","sw","s","sw"
"582","s","s","s","sw","s"
"583","s","sw","sw","s","sw"
"584","s","sw","s","sw","sw"
"585","sw","s","s","sw","sw"
"586","s","c","s","sw","sw"
"587","sw","sw","sw","s","s"
"588","sw","sw","sw","sw","sw"
"589","s","s","s","s","c"
"590","s","sw","sw","sw","sw"
"591","s","sw","sw","sw","s"
"592","s","sw","sw","sw","s"
"593","s","sw","sw","s","s"
"594","sw","sw","sw","sw","s"
"595","s","s","s","s","s"
"596","c","s","sw","sw","s"
"597","s","s","s","s","c"
"598","c","s","s","sw","sw"
"599","sw","s","s","sw","sw"
"600","s","s","s","sw","sw"
"601","s","s","sw","sw","s"
"602","sw","sw","s","sw","s"
"603","sw","s","s","s","s"
"604","sw","sw","s","s","s"
"605","sw","sw","sw","s","sw"
"606","s","c","s","c","s"
"607","s","s","s","sw","sw"
"608","sw","sw","sw","s","s"
"609","s","s","s","s","sw"
"610","sw","s","s","sw","sw"
"611","sw","s","s","s","sw"
"612","sw","s","sw","s","c"
"613","s","sw","sw","sw","s"
"614","s","c","s","s","sw"
"615","s","s","s","sw","s"
"616","sw","s","sw","s","sw"
"617","sw","s","s","s","s"
"618","c","s","sw","sw","s"
"619","sw","sw","sw","s","sw"
"620","sw","sw","sw","sw","sw"
"621","s","s","sw","sw","sw"
"622","s","s","sw","sw","sw"
"623","sw","s","sw","sw","s"
"624","s","c","s","sw","sw"
"625","sw","s","c","s","sw"
"626","s","s","s","c","s"
"627","sw","s","s","sw","sw"
"628","sw","sw","sw","s","sw"
"629","sw","sw","sw","sw","sw"
"630","sw","s","s","s","sw"
"631","s","sw","sw","sw","sw"
"632","sw","sw","sw","s","s"
"633","s","sw","sw","sw","s"
"634","sw","sw","sw","sw","s"
"635","s","s","sw","sw","sw"
"636","s","s","sw","s","s"
"637","sw","sw","sw","sw","s"
"638","s","s","sw","s","sw"
"639","s","s","sw","s","sw"
"640","sw","sw","s","s","s"
"641","s","sw","sw","sw","sw"
"642","sw","s","s","sw","sw"
"643","sw","s","sw","s","s"
"644","c","s","sw","sw","s"
"645","s","sw","sw","s","sw"
"646","sw","s","s","sw","sw"
"647","sw","sw","sw","s","s"
"648","sw","sw","sw","s","s"
"649","sw","s","c","c","c"
"650","c","s","s","sw","sw"
"651","sw","s","s","c","s"
"652","s","sw","s","s","s"
"653","s","s","sw","sw","s"
"654","sw","sw","sw","sw","sw"
"655","sw","s","s","sw","s"
"656","s","s","sw","sw","sw"
"657","sw","sw","s","c","s"
"658","c","s","sw","sw","sw"
"659","sw","sw","sw","sw","sw"
"660","s","s","s","c","s"
"661","s","s","sw","s","s"
"662","sw","s","s","s","s"
"663","sw","sw","s","s","s"
"664","sw","sw","sw","sw","s"
"665","s","s","s","sw","sw"
"666","sw","s","s","s","s"
"667","s","sw","s","sw","sw"
"668","s","sw","s","sw","sw"
"669","s","sw","sw","sw","s"
"670","s","sw","s","s","c"
"671","s","sw","sw","sw","s"
"672","s","sw","s","sw","s"
"673","s","sw","s","s","s"
"674","sw","sw","sw","s","sw"
"675","s","s","c","s","sw"
"676","sw","s","sw","s","sw"
"677","sw","sw","sw","sw","sw"
"678","s","s","s","sw","s"
"679","s","s","s","s","sw"
"680","sw","s","s","s","s"
"681","s","s","s","s","s"
"682","c","s","c","s","s"
"683","sw","sw","s","c","s"
"684","sw","sw","s","s","s"
"685","sw","s","s","s","s"
"686","sw","s","sw","s","s"
"687","s","s","sw","sw","sw"
"688","s","c","s","s","sw"
"689","s","sw","sw","sw","sw"
"690","sw","sw","s","s","s"
"691","s","s","s","s","s"
"692","s","sw","sw","sw","s"
"693","sw","sw","sw","s","sw"
"694","s","s","s","s","s"
"695","s","sw","s","s","sw"
"696","sw","sw","s","c","s"
"697","sw","sw","sw","sw","sw"
"698","s","sw","s","sw","sw"
"699","sw","sw","s","s","sw"
"700","s","sw","s","s","s"
"701","s","sw","sw","sw","sw"
"702","sw","sw","s","sw","s"
"703","s","sw","sw","sw","sw"
"704","sw","sw","s","s","s"
"705","sw","sw","sw","sw","sw"
"706","sw","s","c","c","s"
"707","sw","sw","s","sw","sw"
"708","s","s","s","s","s"
"709","sw","sw","sw","s","c"
"710","s","sw","sw","s","c"
"711","s","sw","s","s","sw"
"712","sw","sw","sw","sw","s"
"713","s","s","sw","s","c"
"714","s","c","s","sw","s"
"715","sw","s","c","c","c"
"716","s","s","s","s","sw"
"717","sw","sw","s","c","s"
"718","s","sw","sw","sw","sw"
"719","s","s","s","s","sw"
"720","s","c","s","sw","sw"
"721","s","s","s","s","sw"
"722","s","sw","s","s","sw"
"723","s","sw","sw","sw","sw"
"724","sw","sw","sw","s","sw"
"725","s","s","s","sw","s"
"726","s","s","s","s","s"
"727","s","s","sw","s","s"
"728","sw","sw","s","sw","sw"
"729","sw","s","s","sw","s"
"730","s","s","sw","s","sw"
"731","sw","sw","s","c","s"
"732","s","sw","s","s","s"
"733","sw","sw","s","s","s"
"734","s","s","s","sw","s"
"735","s","s","c","c","s"
"736","c","s","s","s","sw"
"737","s","s","sw","sw","sw"
"738","s","c","c","s","s"
"739","s","s","s","s","s"
"740","sw","s","s","s","s"
"741","s","c","s","c","s"
"742","s","s","sw","sw","sw"
"743","sw","s","sw","s","s"
"744","sw","s","s","s","sw"
"745","sw","sw","s","s","s"
"746","s","s","s","s","sw"
"747","s","s","s","s","c"
"748","c","s","c","s","sw"
"749","sw","s","s","sw","s"
"750","s","s","sw","sw","s"
"751","s","c","s","s","sw"
"752","s","s","sw","sw","sw"
"753","s","s","c","c","c"
"754","s","c","s","s","sw"
"755","s","sw","sw","sw","s"
"756","sw","sw","sw","s","s"
"757","s","sw","sw","s","s"
"758","s","s","sw","sw","sw"
"759","sw","sw","s","s","c"
"760","s","sw","s","s","c"
"761","s","s","s","s","sw"
"762","s","s","s","s","s"
"763","sw","s","s","s","s"
"764","s","s","c","s","c"
"765","s","s","sw","s","sw"
"766","sw","sw","sw","sw","s"
"767","s","sw","sw","sw","s"
"768","s","s","sw","sw","sw"
"769","sw","s","s","s","sw"
"770","sw","sw","sw","s","sw"
"771","sw","sw","sw","sw","sw"
"772","s","s","s","sw","sw"
"773","sw","s","sw","s","sw"
"774","sw","s","sw","s","s"
"775","sw","sw","sw","s","s"
"776","s","sw","sw","s","sw"
"777","sw","sw","s","sw","sw"
"778","sw","sw","s","s","sw"
"779","sw","sw","sw","sw","sw"
"780","sw","sw","s","s","sw"
"781","sw","s","s","s","s"
"782","s","sw","s","sw","sw"
"783","s","s","s","sw","s"
"784","s","s","c","c","s"
"785","s","c","s","s","s"
"786","c","s","s","sw","s"
"787","sw","s","s","s","sw"
"788","sw","sw","sw","s","sw"
"789","sw","sw","sw","sw","sw"
"790","s","c","s","s","sw"
"791","s","sw","sw","sw","sw"
"792","sw","sw","s","s","sw"
"793","s","c","s","s","s"
"794","s","s","sw","sw","sw"
"795","s","s","sw","s","sw"
"796","sw","s","c","s","s"
"797","sw","s","s","sw","s"
"798","s","s","s","s","s"
"799","s","sw","s","sw","sw"
"800","s","sw","sw","sw","sw"
"801","s","sw","s","s","s"
"802","sw","sw","sw","s","s"
"803","c","s","s","s","c"
"804","c","s","s","s","s"
"805","sw","s","s","sw","s"
"806","sw","s","s","sw","s"
"807","s","s","sw","sw","s"
"808","s","sw","s","sw","sw"
"809","sw","s","s","c","s"
"810","sw","sw","sw","s","s"
"811","sw","sw","sw","sw","s"
"812","c","s","s","sw","sw"
"813","sw","sw","sw","s","sw"
"814","s","s","s","s","sw"
"815","s","s","s","sw","s"
"816","sw","s","s","sw","sw"
"817","sw","s","sw","sw","s"
"818","s","sw","s","sw","sw"
"819","sw","sw","sw","sw","sw"
"820","sw","s","s","sw","sw"
"821","sw","sw","s","sw","sw"
"822","s","sw","sw","s","sw"
"823","sw","sw","sw","s","s"
"824","sw","sw","sw","s","sw"
"825","s","s","s","c","c"
"826","s","sw","sw","sw","sw"
"827","sw","sw","s","sw","sw"
"828","sw","sw","sw","s","sw"
"829","s","s","s","s","sw"
"830","sw","sw","sw","sw","sw"
"831","sw","s","sw","sw","sw"
"832","sw","s","s","c","s"
"833","s","s","s","sw","sw"
"834","sw","sw","sw","s","s"
"835","sw","sw","sw","sw","s"
"836","s","s","s","s","sw"
"837","s","sw","s","s","s"
"838","s","s","s","sw","sw"
"839","s","s","sw","sw","sw"
"840","s","sw","sw","s","s"
"841","s","sw","sw","s","s"
"842","s","sw","s","s","s"
"843","sw","sw","sw","sw","s"
"844","sw","sw","s","s","s"
"845","s","s","s","s","s"
"846","sw","sw","s","s","s"
"847","sw","sw","s","sw","sw"
"848","sw","sw","sw","sw","sw"
"849","s","s","s","sw","sw"
"850","s","s","sw","s","sw"
"851","sw","sw","s","s","c"
"852","s","sw","s","s","s"
"853","s","s","sw","sw","s"
"854","c","s","s","c","s"
"855","sw","sw","sw","sw","sw"
"856","s","s","s","s","sw"
"857","s","s","sw","sw","s"
"858","s","sw","sw","sw","sw"
